ts_code,metric_name,name,end_date,industry,ann_date,roe_slope,roe_log_slope,roe_r_squared,roe_p_value,roe_cagr_approx,roe_cagr,roe_trend_direction,roe_cv,roe_std_dev,roe_volatility_type,roe_volatility_regime,roe_has_deterioration,roe_deterioration_severity,roe_total_decline_pct,roe_has_inflection,roe_inflection_type,roe_is_cyclical,roe_current_phase,roe_cycle_position,roe_is_accelerating,roe_is_decelerating,roe_recent_3y_slope,roe_robust_slope,roe_mk_tau,roe_mk_p_value,roe_weighted_avg,roe_latest_value,roe_latest_vs_weighted_ratio,roe_full_data_years,roe_trend_window_years,roe_has_structural_break,roe_break_year_index,roe_data_regime
000009.SZ,roe,中国宝安,20241231,电气设备,20250416.0,-2.3715400000000004,-0.4032145473841798,0.5873100186782134,0.13071095309190706,-0.36389159071364574,-0.36389159071364574,down,0.522011782799152,4.977904360772714,moderate,increasing_vol,True,severe,-87.11436042162026,False,none,False,falling,bottom,False,True,-0.9882508102449021,-2.5968625000000003,-0.6,0.22067136191984693,8.824538,1.7396,0.19713213314963343,10,5,False,,stable
000020.SZ,roe,深华发A,20241231,元器件,20250422.0,0.25054000000000004,0.0894908448637817,0.38571718126125504,0.2635198054465852,0.4681918927481039,0.4681918927481039,up,0.7707970607943593,3.131902617419641,volatile,increasing_vol,False,none,228.12112869924292,False,none,False,rising,top,True,False,0.5812907268712609,0.7949249999999998,1.0,0.02748633611151033,4.559721,9.5352,2.09118057881173,10,5,False,,stable
000021.SZ,roe,深科技,20241231,元器件,20250425.0,-1.01769,-0.1120397024026615,0.4523867712206187,0.21349415206919428,-0.08876781254082722,-0.08876781254082722,down,0.27557585319566463,2.2847387721575525,stable,decreasing_vol,False,none,24.6423817756223,False,none,False,rising,mid_up,True,False,0.10911152180205685,-1.1682375,-0.6,0.22067136191984693,7.985473000000001,8.147,1.0202276058036888,10,5,False,,stable
000034.SZ,roe,神州数码,20241231,软件服务,20250329.0,-0.05179999999999989,0.02083706326990109,0.004088474487765525,0.9186430707244816,-0.11457329227906132,-0.11457329227906132,up,0.40831974221626954,4.558130447124127,volatile,decreasing_vol,True,severe,-42.401166117211126,False,none,False,falling,mid_down,False,False,-0.2746738943782594,0.03508333333333298,0.0,1.0,11.1476,8.4562,0.7585668664107073,10,5,False,,stable
000045.SZ,roe,深纺织A,20241231,元器件,20250328.0,0.39893,0.16675893763556943,0.8576337983403848,0.023853732627037223,0.22586923722602692,0.22586923722602692,up,0.275750500481982,0.6598874926834118,ultra_stable,decreasing_vol,False,none,18.39857788769951,False,none,False,rising,mid_up,False,True,0.0795562153373135,0.3472000000000002,1.0,0.02748633611151033,2.512739,3.0638,1.219306899761575,10,5,False,,stable
000049.SZ,roe,德赛电池,20241231,电气设备,20250422.0,-5.4982500000000005,-0.3685024401426863,0.859139567878214,0.02346437481675666,-0.29940955114923806,-0.29940955114923806,down,0.4986654763019305,9.20457680108108,stable,increasing_vol,True,severe,-72.15088804898264,False,none,False,falling,bottom,False,True,-0.6364121736461168,-5.163437500000001,-1.0,0.02748633611151033,16.808945,6.4178,0.3818086144014392,10,5,False,,stable
000050.SZ,roe,深天马A,20241231,元器件,20250315.0,-2.6366499999999995,-1.2705067043345757,0.8082108225970346,0.03793933138873109,,,down,267.5698873017424,5.062422267748908,high_volatility,increasing_vol,False,none,-798.7593768032314,False,none,False,rising,mid_up,False,False,-0.9789195688178675,-2.291383333333333,-0.8,0.0864107329737,-0.7720750000000001,-2.4219,1.0,10,5,False,,stable
000062.SZ,roe,深圳华强,20241231,元器件,20250314.0,-2.5803399999999996,-0.3481481144224319,0.6761026957914823,0.08751839592906208,-0.2868777034504787,-0.2868777034504787,down,0.5135427097729663,5.217747994106269,moderate,increasing_vol,True,severe,-79.13268626337869,False,none,False,falling,bottom,False,True,-0.770868259812272,-2.8645125,-0.6,0.22067136191984693,9.386198,3.0142,0.32113109056510425,10,5,False,,stable
000066.SZ,roe,中国长城,20241231,IT设备,20250428.0,-6.00556,-1.7817694208152244,0.9256292017219557,0.008807899244993951,,,down,29.96126459405319,9.553448828459803,high_volatility,stable,True,severe,-1301.2242518460941,False,none,False,falling,mid_down,False,True,-2.0556790497962543,-5.918404166666667,-1.0,0.02748633611151033,-2.120528,-12.363,1.0,10,5,False,,stable
000100.SZ,roe,TCL科技,20241231,元器件,20250429.0,-4.3233999999999995,-0.48095592709232254,0.32417300694211826,0.3164011814474511,-0.31845191969230047,-0.31845191969230047,down,1.106300784647936,10.515057067843237,high_volatility,decreasing_vol,True,severe,428.7251210328134,False,none,False,falling,mid_down,True,False,0.6349407970397647,-2.9047083333333332,-0.4,0.4624327264504764,8.20768,2.9487,0.35926108230340364,10,5,False,,stable
000153.SZ,roe,丰原药业,20241231,化学制药,20250411.0,0.23181999999999983,0.02852713237986664,0.2464942151378476,0.3948860832242713,0.020854568619385727,0.020854568619385727,up,0.09272390680031062,0.7767759844382421,ultra_stable,decreasing_vol,False,none,-13.230983361099993,False,none,False,falling,mid_down,False,True,-0.07050851461019136,0.18876249999999994,0.4,0.4624327264504764,8.493210000000001,8.229,0.9688916204827148,10,5,False,,stable
000155.SZ,roe,川能动力,20241231,新型电力,20250428.0,1.2456,0.1744429436218388,0.35428572645701545,0.2896376763360284,0.17939911342881798,0.17939911342881798,up,0.41308148933766126,3.8783064405742875,volatile,decreasing_vol,True,severe,-41.0078130599957,False,none,False,falling,mid_down,False,True,-0.2626882470130152,1.6228500000000001,0.4,0.4624327264504764,9.7624,8.23,0.8430304023600754,10,5,False,,stable
000158.SZ,roe,常山北明,20241231,软件服务,20250429.0,-2.83214,-1.1481952859884148,0.808940113142356,0.037713429844591737,,,down,2.183918220759198,5.146272252125804,high_volatility,increasing_vol,True,severe,-207.91144771337025,False,none,False,falling,bottom,True,False,-0.5531521225061042,-2.8165500000000003,-0.6,0.22067136191984693,-3.2060820000000003,-10.5706,1.0,10,5,False,,stable
